Linux 3.10.0-1127.19.1.el7.x86_64 (localhost.localdomain) 	05/09/2023 	_x86_64_	(4 CPU)

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1683601053     0         0     10210   19.00    0.00    0.00   19.00     3      5.00      0.00 3851748 2988284  37.31      0.00      0.00      0.00  |__1-B
 1683601053     0         0     10211   21.00    0.00    0.00   21.00     2      5.00      0.00 3851748 2988284  37.31      0.00      0.00      0.00  |__2-B
 1683601053     0         0     10212   23.00    0.00    0.00   23.00     0      5.00      0.00 3851748 2988284  37.31      0.00      0.00      0.00  |__3-B
 1683601053     0         0     10238    3.00    0.00    0.00    3.00     2      0.00      0.00 3851748 2988284  37.31      0.00      0.00      0.00  |__roi

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1683601054     0     10201         0   87.00    0.00    0.00   87.00     2     40.00      0.00 3851748 2988232  37.31      0.00      0.00      0.00  game
 1683601054     0         0     10201    1.00    0.00    0.00    1.00     2      0.00      0.00 3851748 2988232  37.31      0.00      0.00      0.00  |__game
 1683601054     0         0     10205    0.00    0.00    0.00    0.00     3      0.00      0.00 3851748 2988232  37.31      0.00      0.00      0.00  |__log_f
 1683601054     0         0     10206    0.00    0.00    0.00    0.00     2     20.00      0.00 3851748 2988232  37.31      0.00      0.00      0.00  |__timer
 1683601054     0         0     10207    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988232  37.31      0.00      0.00      0.00  |__net
 1683601054     0         0     10208    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988232  37.31      0.00      0.00      0.00  |__connector
 1683601054     0         0     10209   17.00    0.00    0.00   17.00     0      5.00      0.00 3851748 2988232  37.31      0.00      0.00      0.00  |__0-M
 1683601054     0         0     10210   24.00    0.00    0.00   24.00     3      5.00      0.00 3851748 2988232  37.31      0.00      0.00      0.00  |__1-B
 1683601054     0         0     10211   25.00    0.00    0.00   25.00     2      5.00      0.00 3851748 2988232  37.31      0.00      0.00      0.00  |__2-B
 1683601054     0         0     10212   18.00    0.00    0.00   18.00     0      5.00      0.00 3851748 2988232  37.31      0.00      0.00      0.00  |__3-B
 1683601054     0         0     10238    4.00    0.00    0.00    4.00     1      0.00      0.00 3851748 2988232  37.31      0.00      0.00      0.00  |__roi

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1683601055     0     10201         0  101.00    1.00    0.00  102.00     1     44.00      0.00 3851748 2988680  37.32      0.00      4.00      0.00  game
 1683601055     0         0     10201    0.00    0.00    0.00    0.00     1      0.00      0.00 3851748 2988680  37.32      0.00      0.00      0.00  |__game
 1683601055     0         0     10205    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988680  37.32      0.00      4.00      0.00  |__log_f
 1683601055     0         0     10206    0.00    0.00    0.00    0.00     3     18.00      0.00 3851748 2988680  37.32      0.00      0.00      0.00  |__timer
 1683601055     0         0     10207    0.00    0.00    0.00    0.00     2      0.00      0.00 3851748 2988680  37.32      0.00      0.00      0.00  |__net
 1683601055     0         0     10208    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988680  37.32      0.00      0.00      0.00  |__connector
 1683601055     0         0     10209   23.00    0.00    0.00   23.00     2     10.00      0.00 3851748 2988680  37.32      0.00      0.00      0.00  |__0-M
 1683601055     0         0     10210   24.00    0.00    0.00   24.00     1      5.00      0.00 3851748 2988680  37.32      0.00      0.00      0.00  |__1-B
 1683601055     0         0     10211   26.00    0.00    0.00   26.00     3      5.00      0.00 3851748 2988680  37.32      0.00      0.00      0.00  |__2-B
 1683601055     0         0     10212   24.00    0.00    0.00   24.00     1      5.00      0.00 3851748 2988680  37.32      0.00      0.00      0.00  |__3-B
 1683601055     0         0     10238    3.00    0.00    0.00    3.00     0      1.00      0.00 3851748 2988680  37.32      0.00      0.00      0.00  |__roi

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1683601056     0     10201         0   94.00    0.00    0.00   94.00     0     39.00      0.00 3851748 2988608  37.32      0.00      0.00      0.00  game
 1683601056     0         0     10201    1.00    0.00    0.00    1.00     0      0.00      0.00 3851748 2988608  37.32      0.00      0.00      0.00  |__game
 1683601056     0         0     10205    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988608  37.32      0.00      0.00      0.00  |__log_f
 1683601056     0         0     10206    0.00    0.00    0.00    0.00     3     19.00      0.00 3851748 2988608  37.32      0.00      0.00      0.00  |__timer
 1683601056     0         0     10207    0.00    0.00    0.00    0.00     2      0.00      0.00 3851748 2988608  37.32      0.00      0.00      0.00  |__net
 1683601056     0         0     10208    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988608  37.32      0.00      0.00      0.00  |__connector
 1683601056     0         0     10209   18.00    0.00    0.00   18.00     1      5.00      0.00 3851748 2988608  37.32      0.00      0.00      0.00  |__0-M
 1683601056     0         0     10210   24.00    0.00    0.00   24.00     1      5.00      0.00 3851748 2988608  37.32      0.00      0.00      0.00  |__1-B
 1683601056     0         0     10211   22.00    0.00    0.00   22.00     3      5.00      0.00 3851748 2988608  37.32      0.00      0.00      0.00  |__2-B
 1683601056     0         0     10212   25.00    0.00    0.00   25.00     1      5.00      0.00 3851748 2988608  37.32      0.00      0.00      0.00  |__3-B
 1683601056     0         0     10238    3.00    0.00    0.00    3.00     0      0.00      0.00 3851748 2988608  37.32      0.00      0.00      0.00  |__roi

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1683601057     0     10201         0   89.00    0.00    0.00   89.00     3     32.00      0.00 3851748 2988420  37.31      0.00      8.00      0.00  game
 1683601057     0         0     10201    0.00    1.00    0.00    1.00     3      0.00      0.00 3851748 2988420  37.31      0.00      0.00      0.00  |__game
 1683601057     0         0     10205    0.00    0.00    0.00    0.00     3      0.00      0.00 3851748 2988420  37.31      0.00      8.00      0.00  |__log_f
 1683601057     0         0     10206    0.00    0.00    0.00    0.00     1     18.00      0.00 3851748 2988420  37.31      0.00      0.00      0.00  |__timer
